manager,season,gw,gw_points,total_points,avg_last3,avg_last5,std_last5,final_points
allan,2022,1,67,67,67.0,67.0,0.0,2469.0
allan,2022,2,66,133,66.5,66.5,0.7071067811865476,2469.0
allan,2022,3,52,185,61.666666666666664,61.666666666666664,8.386497083606082,2469.0
allan,2022,4,45,230,54.333333333333336,57.5,10.785793124908956,2469.0
allan,2022,5,63,293,53.333333333333336,58.6,9.659192512834599,2469.0
allan,2022,6,45,338,51.0,54.2,9.884331034521253,2469.0
allan,2022,7,0,338,36.0,41.0,24.072806234421446,2469.0
allan,2022,8,52,390,32.333333333333336,41.0,24.072806234421446,2469.0
allan,2022,9,46,436,32.666666666666664,41.2,24.118457662130886,2469.0
allan,2022,10,78,514,58.666666666666664,44.2,28.11049626029395,2469.0
allan,2022,11,60,574,61.333333333333336,47.2,29.003448070875987,2469.0
allan,2022,12,49,623,62.333333333333336,57.0,12.84523257866513,2469.0
allan,2022,13,65,688,58.0,59.6,12.895735729302148,2469.0
allan,2022,14,49,737,54.333333333333336,60.2,12.153188881935474,2469.0
allan,2022,15,52,789,55.333333333333336,55.0,7.176350047203663,2469.0
allan,2022,16,45,834,48.666666666666664,52.0,7.68114574786861,2469.0
allan,2022,17,81,915,59.333333333333336,58.4,14.690132742763083,2469.0
allan,2022,18,78,993,68.0,61.0,17.10263137648707,2469.0
allan,2022,19,54,1047,71.0,62.0,16.355427233796124,2469.0
allan,2022,20,81,1128,71.0,67.8,17.049926686059386,2469.0
allan,2022,21,88,1216,74.33333333333333,76.4,13.049904214207857,2469.0
allan,2022,22,93,1309,87.33333333333333,78.8,15.056560032092325,2469.0
allan,2022,23,96,1405,92.33333333333333,82.4,16.861198059449986,2469.0
allan,2022,24,60,1465,83.0,83.6,14.363147287415803,2469.0
allan,2022,25,89,1554,81.66666666666667,85.2,14.446452851824905,2469.0
allan,2022,26,31,1585,60.0,73.8,27.905196648653092,2469.0
allan,2022,27,87,1672,69.0,72.6,26.987033923719736,2469.0
allan,2022,28,48,1720,55.333333333333336,63.0,25.049950099750692,2469.0
allan,2022,29,118,1838,84.33333333333333,74.6,34.832456129305605,2469.0
allan,2022,30,65,1903,77.0,69.8,33.99558794902656,2469.0
allan,2022,31,89,1992,90.66666666666667,81.4,26.519803920843753,2469.0
allan,2022,32,57,2049,70.33333333333333,75.4,28.27189417071307,2469.0
allan,2022,33,64,2113,70.0,78.6,25.125684070289505,2469.0
allan,2022,34,97,2210,72.66666666666667,74.4,17.487138130637604,2469.0
allan,2022,35,37,2247,66.0,68.8,24.376217918290763,2469.0
allan,2022,36,101,2348,78.33333333333333,71.2,27.280029325497427,2469.0
allan,2022,37,58,2406,65.33333333333333,71.4,27.153268679847727,2469.0
allan,2022,38,63,2469,74.0,71.2,27.224988521577004,2469.0
amy,2022,1,44,44,44.0,44.0,0.0,2160.0
amy,2022,2,56,100,50.0,50.0,8.48528137423857,2160.0
amy,2022,3,45,145,48.333333333333336,48.333333333333336,6.658328118479393,2160.0
amy,2022,4,61,206,54.0,51.5,8.34665601703261,2160.0
amy,2022,5,36,242,47.333333333333336,48.4,10.014988766843425,2160.0
amy,2022,6,54,296,50.333333333333336,50.4,9.91463564635635,2160.0
amy,2022,7,0,296,30.0,39.2,23.84743172754668,2160.0
amy,2022,8,47,343,33.666666666666664,39.6,23.985412233272122,2160.0
amy,2022,9,87,430,44.666666666666664,44.8,31.443600302764313,2160.0
amy,2022,10,53,483,62.333333333333336,48.2,31.172102912700645,2160.0
amy,2022,11,33,516,57.666666666666664,44.0,31.606961258558215,2160.0
amy,2022,12,51,567,45.666666666666664,54.2,19.929877069364977,2160.0
amy,2022,13,57,624,47.0,56.2,19.524343778985248,2160.0
amy,2022,14,55,679,54.333333333333336,49.8,9.654014708917737,2160.0
amy,2022,15,43,722,51.666666666666664,47.8,9.859006035092989,2160.0
amy,2022,16,37,759,45.0,48.6,8.414273587185052,2160.0
amy,2022,17,71,830,50.333333333333336,52.6,13.221195104830729,2160.0
amy,2022,18,40,870,49.333333333333336,49.2,13.971399357258385,2160.0
amy,2022,19,63,933,58.0,50.8,15.205262246998572,2160.0
amy,2022,20,75,1008,59.333333333333336,57.2,17.64086165695996,2160.0
amy,2022,21,58,1066,65.33333333333333,61.4,13.685759021698432,2160.0
amy,2022,22,62,1128,65.0,59.6,12.660963628413125,2160.0
amy,2022,23,70,1198,63.333333333333336,65.6,6.804410334481603,2160.0
amy,2022,24,51,1249,61.0,63.2,9.523654760647304,2160.0
amy,2022,25,70,1319,63.666666666666664,62.2,8.1363382427232,2160.0
amy,2022,26,38,1357,53.0,58.2,13.718600511714016,2160.0
amy,2022,27,86,1443,64.66666666666667,63.0,18.681541692269406,2160.0
amy,2022,28,43,1486,55.666666666666664,57.6,20.0074985942771,2160.0
amy,2022,29,89,1575,72.66666666666667,65.2,23.742367194532225,2160.0
amy,2022,30,68,1643,66.66666666666667,64.8,23.65797962633327,2160.0
amy,2022,31,65,1708,74.0,70.2,18.539147768977948,2160.0
amy,2022,32,51,1759,61.333333333333336,63.2,17.66918221084383,2160.0
amy,2022,33,69,1828,61.666666666666664,68.4,13.594116374373144,2160.0
amy,2022,34,117,1945,79.0,74.0,25.099800796022265,2160.0
amy,2022,35,35,1980,73.66666666666667,67.4,30.770115371899404,2160.0
amy,2022,36,71,2051,74.33333333333333,68.6,30.770115371899404,2160.0
amy,2022,37,76,2127,60.666666666666664,73.6,29.185612894027084,2160.0
amy,2022,38,33,2160,60.0,66.4,34.55141096974189,2160.0
cam,2022,1,79,79,79.0,79.0,0.0,2248.0
cam,2022,2,35,114,57.0,57.0,31.11269837220809,2248.0
cam,2022,3,57,171,57.0,57.0,22.0,2248.0
cam,2022,4,91,262,61.0,65.5,24.73189573539939,2248.0
cam,2022,5,72,334,73.33333333333333,66.8,21.614809737770074,2248.0
cam,2022,6,40,374,67.66666666666667,59.0,23.097618924902193,2248.0
cam,2022,7,0,374,37.333333333333336,52.0,34.61935874622752,2248.0
cam,2022,8,46,420,28.666666666666668,49.8,34.57166469813104,2248.0
cam,2022,9,72,492,39.333333333333336,46.0,29.597297173897484,2248.0
cam,2022,10,43,535,53.666666666666664,40.2,25.830214865540704,2248.0
cam,2022,11,42,577,52.333333333333336,40.6,25.841826560829634,2248.0
cam,2022,12,27,604,37.333333333333336,46.0,16.29417073680032,2248.0
cam,2022,13,68,672,45.666666666666664,50.4,19.034179782696178,2248.0
cam,2022,14,60,732,51.666666666666664,48.0,16.170961628796224,2248.0
cam,2022,15,75,807,67.66666666666667,54.4,19.654516020497677,2248.0
cam,2022,16,26,833,53.666666666666664,51.2,23.16678657043311,2248.0
cam,2022,17,98,931,66.33333333333333,65.4,26.187783411354232,2248.0
cam,2022,18,51,982,58.333333333333336,62.0,26.860752037126584,2248.0
cam,2022,19,60,1042,69.66666666666667,62.0,26.860752037126584,2248.0
cam,2022,20,66,1108,59.0,60.2,26.061465806819076,2248.0
cam,2022,21,75,1183,67.0,70.0,17.930421077041103,2248.0
cam,2022,22,47,1230,62.666666666666664,59.8,11.300442469213312,2248.0
cam,2022,23,79,1309,67.0,65.4,12.70039369468521,2248.0
cam,2022,24,63,1372,63.0,66.0,12.449899597988727,2248.0
cam,2022,25,85,1457,75.66666666666667,69.8,15.073154945133414,2248.0
cam,2022,26,45,1502,64.33333333333333,63.8,18.143869488066755,2248.0
cam,2022,27,73,1575,67.66666666666667,69.0,15.684387141358117,2248.0
cam,2022,28,67,1642,61.666666666666664,66.6,14.656056768449004,2248.0
cam,2022,29,85,1727,75.0,71.0,16.49242250247064,2248.0
cam,2022,30,61,1788,71.0,66.2,14.805404418657394,2248.0
cam,2022,31,53,1841,66.33333333333333,67.8,12.132600710482476,2248.0
cam,2022,32,39,1880,51.0,61.0,17.0293863659264,2248.0
cam,2022,33,62,1942,51.333333333333336,60.0,16.733200530681508,2248.0
cam,2022,34,91,2033,64.0,61.2,19.031552748002458,2248.0
cam,2022,35,45,2078,66.0,58.0,20.37154878746336,2248.0
cam,2022,36,60,2138,65.33333333333333,59.4,20.181674856165923,2248.0
cam,2022,37,61,2199,55.333333333333336,63.8,16.724233913695414,2248.0
cam,2022,38,49,2248,56.666666666666664,61.2,18.03330252615976,2248.0
charlieh,2022,1,24,24,24.0,24.0,0.0,1906.0
charlieh,2022,2,50,74,37.0,37.0,18.384776310850235,1906.0
charlieh,2022,3,36,110,36.666666666666664,36.666666666666664,13.012814197295423,1906.0
charlieh,2022,4,66,176,50.666666666666664,44.0,18.110770276274835,1906.0
charlieh,2022,5,25,201,42.333333333333336,40.2,17.838161340227867,1906.0
charlieh,2022,6,49,250,46.666666666666664,45.2,15.514509338035799,1906.0
charlieh,2022,7,0,250,24.666666666666668,35.2,24.913851568956577,1906.0
charlieh,2022,8,71,321,40.0,42.2,29.659737018389087,1906.0
charlieh,2022,9,43,364,38.0,37.6,26.679580206592455,1906.0
