manager,season,gw,gw_points
allan,2022,1,67
allan,2022,2,66
allan,2022,3,52
allan,2022,4,45
allan,2022,5,63
allan,2022,6,45
allan,2022,7,0
allan,2022,8,52
allan,2022,9,46
allan,2022,10,78
allan,2022,11,60
allan,2022,12,49
allan,2022,13,65
allan,2022,14,49
allan,2022,15,52
allan,2022,16,45
allan,2022,17,81
allan,2022,18,78
allan,2022,19,54
allan,2022,20,81
allan,2022,21,88
allan,2022,22,93
allan,2022,23,96
allan,2022,24,60
allan,2022,25,89
allan,2022,26,31
allan,2022,27,87
allan,2022,28,48
allan,2022,29,118
allan,2022,30,65
allan,2022,31,89
allan,2022,32,57
allan,2022,33,64
allan,2022,34,97
allan,2022,35,37
allan,2022,36,101
allan,2022,37,58
allan,2022,38,63
amy,2022,1,44
amy,2022,2,56
amy,2022,3,45
amy,2022,4,61
amy,2022,5,36
amy,2022,6,54
amy,2022,7,0
amy,2022,8,47
amy,2022,9,87
amy,2022,10,53
amy,2022,11,33
amy,2022,12,51
amy,2022,13,57
amy,2022,14,55
amy,2022,15,43
amy,2022,16,37
amy,2022,17,71
amy,2022,18,40
amy,2022,19,63
amy,2022,20,75
amy,2022,21,58
amy,2022,22,62
amy,2022,23,70
amy,2022,24,51
amy,2022,25,70
amy,2022,26,38
amy,2022,27,86
amy,2022,28,43
amy,2022,29,89
amy,2022,30,68
amy,2022,31,65
amy,2022,32,51
amy,2022,33,69
amy,2022,34,117
amy,2022,35,35
amy,2022,36,71
amy,2022,37,76
amy,2022,38,33
cam,2022,1,79
cam,2022,2,35
cam,2022,3,57
cam,2022,4,91
cam,2022,5,72
cam,2022,6,40
cam,2022,7,0
cam,2022,8,46
cam,2022,9,72
cam,2022,10,43
cam,2022,11,42
cam,2022,12,27
cam,2022,13,68
cam,2022,14,60
cam,2022,15,75
cam,2022,16,26
cam,2022,17,98
cam,2022,18,51
cam,2022,19,60
cam,2022,20,66
cam,2022,21,75
cam,2022,22,47
cam,2022,23,79
cam,2022,24,63
cam,2022,25,85
cam,2022,26,45
cam,2022,27,73
cam,2022,28,67
cam,2022,29,85
cam,2022,30,61
cam,2022,31,53
cam,2022,32,39
cam,2022,33,62
cam,2022,34,91
cam,2022,35,45
cam,2022,36,60
cam,2022,37,61
cam,2022,38,49
charlieh,2022,1,24
charlieh,2022,2,50
charlieh,2022,3,36
charlieh,2022,4,66
charlieh,2022,5,25
charlieh,2022,6,49
charlieh,2022,7,0
charlieh,2022,8,71
charlieh,2022,9,43
charlieh,2022,10,56
charlieh,2022,11,32
charlieh,2022,12,30
charlieh,2022,13,55
charlieh,2022,14,53
charlieh,2022,15,58
charlieh,2022,16,36
charlieh,2022,17,45
charlieh,2022,18,32
charlieh,2022,19,44
charlieh,2022,20,55
charlieh,2022,21,54
charlieh,2022,22,84
charlieh,2022,23,83
charlieh,2022,24,52
charlieh,2022,25,55
charlieh,2022,26,37
charlieh,2022,27,55
charlieh,2022,28,22
charlieh,2022,29,100
charlieh,2022,30,54
charlieh,2022,31,52
charlieh,2022,32,43
charlieh,2022,33,44
charlieh,2022,34,110
charlieh,2022,35,20
charlieh,2022,36,83
charlieh,2022,37,71
charlieh,2022,38,27
eve,2022,1,50
eve,2022,2,41
eve,2022,3,56
eve,2022,4,62
eve,2022,5,85
eve,2022,6,52
eve,2022,7,0
eve,2022,8,35
eve,2022,9,92
eve,2022,10,61
eve,2022,11,30
eve,2022,12,45
eve,2022,13,54
eve,2022,14,72
eve,2022,15,55
eve,2022,16,44
eve,2022,17,71
eve,2022,18,47
eve,2022,19,62
eve,2022,20,61
eve,2022,21,79
eve,2022,22,27
eve,2022,23,89
eve,2022,24,36
eve,2022,25,57
eve,2022,26,44
eve,2022,27,61
eve,2022,28,15
eve,2022,29,74
eve,2022,30,48
eve,2022,31,66
eve,2022,32,44
eve,2022,33,64
eve,2022,34,71
eve,2022,35,39
eve,2022,36,50
eve,2022,37,48
eve,2022,38,41
greg,2022,1,88
greg,2022,2,63
greg,2022,3,52
greg,2022,4,40
greg,2022,5,72
greg,2022,6,47
greg,2022,7,0
greg,2022,8,83
greg,2022,9,65
greg,2022,10,58
greg,2022,11,61
greg,2022,12,41
greg,2022,13,54
greg,2022,14,63
greg,2022,15,53
greg,2022,16,44
greg,2022,17,76
greg,2022,18,47
greg,2022,19,57
greg,2022,20,61
greg,2022,21,77
greg,2022,22,35
greg,2022,23,48
greg,2022,24,32
greg,2022,25,66
greg,2022,26,28
greg,2022,27,75
greg,2022,28,37
greg,2022,29,52
greg,2022,30,50
greg,2022,31,68
greg,2022,32,20
greg,2022,33,58
greg,2022,34,85
greg,2022,35,26
greg,2022,36,56
greg,2022,37,50
greg,2022,38,32
iain,2022,1,49
iain,2022,2,96
iain,2022,3,41
iain,2022,4,67
iain,2022,5,33
iain,2022,6,53
iain,2022,7,0
iain,2022,8,60
iain,2022,9,64
iain,2022,10,57
iain,2022,11,60
iain,2022,12,52
iain,2022,13,21
iain,2022,14,57
iain,2022,15,62
iain,2022,16,29
iain,2022,17,87
iain,2022,18,69
iain,2022,19,58
iain,2022,20,84
iain,2022,21,84
iain,2022,22,89
iain,2022,23,84
iain,2022,24,73
iain,2022,25,105
iain,2022,26,39
iain,2022,27,91
iain,2022,28,46
iain,2022,29,113
iain,2022,30,46
iain,2022,31,62
iain,2022,32,64
iain,2022,33,64
iain,2022,34,107
iain,2022,35,32
iain,2022,36,115
iain,2022,37,57
iain,2022,38,60
jamie,2022,1,42
jamie,2022,2,39
jamie,2022,3,43
jamie,2022,4,72
jamie,2022,5,42
jamie,2022,6,48
jamie,2022,7,0
jamie,2022,8,50
jamie,2022,9,70
jamie,2022,10,39
jamie,2022,11,47
jamie,2022,12,34
jamie,2022,13,54
jamie,2022,14,48
jamie,2022,15,71
jamie,2022,16,55
jamie,2022,17,83
jamie,2022,18,44
jamie,2022,19,53
jamie,2022,20,80
jamie,2022,21,71
jamie,2022,22,37
jamie,2022,23,78
jamie,2022,24,51
jamie,2022,25,68
jamie,2022,26,32
jamie,2022,27,69
jamie,2022,28,45
jamie,2022,29,82
jamie,2022,30,51
jamie,2022,31,50
jamie,2022,32,73
jamie,2022,33,67
jamie,2022,34,98
jamie,2022,35,37
jamie,2022,36,75
jamie,2022,37,70
jamie,2022,38,56
katty,2022,1,27
katty,2022,2,31
katty,2022,3,37
katty,2022,4,89
katty,2022,5,63
katty,2022,6,48
katty,2022,7,0
katty,2022,8,47
katty,2022,9,98
katty,2022,10,66
katty,2022,11,37
katty,2022,12,36
katty,2022,13,53
katty,2022,14,57
katty,2022,15,43
katty,2022,16,52
katty,2022,17,71
katty,2022,18,42
katty,2022,19,46
katty,2022,20,52
katty,2022,21,59
katty,2022,22,20
katty,2022,23,43
katty,2022,24,41
katty,2022,25,75
katty,2022,26,52
katty,2022,27,41
katty,2022,28,9
katty,2022,29,66
katty,2022,30,47
katty,2022,31,52
katty,2022,32,28
katty,2022,33,60
katty,2022,34,75
katty,2022,35,40
katty,2022,36,66
katty,2022,37,57
katty,2022,38,41
matt,2022,1,56
matt,2022,2,50
matt,2022,3,43
matt,2022,4,89
matt,2022,5,53
matt,2022,6,55
matt,2022,7,0
matt,2022,8,47
matt,2022,9,87
matt,2022,10,66
matt,2022,11,44
matt,2022,12,68
matt,2022,13,57
matt,2022,14,86
matt,2022,15,60
matt,2022,16,43
matt,2022,17,74
matt,2022,18,38
matt,2022,19,49
matt,2022,20,71
matt,2022,21,87
matt,2022,22,53
matt,2022,23,84
matt,2022,24,50
matt,2022,25,76
matt,2022,26,31
matt,2022,27,61
matt,2022,28,44
matt,2022,29,72
matt,2022,30,49
matt,2022,31,51
matt,2022,32,47
matt,2022,33,66
matt,2022,34,87
matt,2022,35,41
matt,2022,36,60
matt,2022,37,44
matt,2022,38,37
mika,2022,1,43
mika,2022,2,60
mika,2022,3,44
mika,2022,4,44
mika,2022,5,40
mika,2022,6,62
mika,2022,7,0
mika,2022,8,53
mika,2022,9,68
mika,2022,10,73
mika,2022,11,50
mika,2022,12,56
mika,2022,13,54
mika,2022,14,58
mika,2022,15,48
mika,2022,16,64
mika,2022,17,100
mika,2022,18,66
mika,2022,19,40
mika,2022,20,63
mika,2022,21,101
mika,2022,22,35
mika,2022,23,88
mika,2022,24,73
mika,2022,25,104
mika,2022,26,41
mika,2022,27,77
mika,2022,28,38
mika,2022,29,106
mika,2022,30,54
mika,2022,31,69
mika,2022,32,54
mika,2022,33,61
mika,2022,34,70
mika,2022,35,37
mika,2022,36,79
mika,2022,37,66
mika,2022,38,52
roger,2022,1,57
roger,2022,2,67
roger,2022,3,58
roger,2022,4,59
roger,2022,5,48
roger,2022,6,48
roger,2022,7,0
roger,2022,8,49
roger,2022,9,85
roger,2022,10,38
roger,2022,11,35
roger,2022,12,36
roger,2022,13,36
roger,2022,14,52
roger,2022,15,52
roger,2022,16,41
roger,2022,17,76
roger,2022,18,51
roger,2022,19,60
roger,2022,20,56
roger,2022,21,78
roger,2022,22,86
roger,2022,23,85
roger,2022,24,54
roger,2022,25,86
roger,2022,26,30
roger,2022,27,51
roger,2022,28,49
roger,2022,29,106
roger,2022,30,55
roger,2022,31,50
roger,2022,32,52
roger,2022,33,42
roger,2022,34,101
roger,2022,35,56
roger,2022,36,140
roger,2022,37,65
roger,2022,38,48
saughn,2022,1,53
saughn,2022,2,55
saughn,2022,3,53
saughn,2022,4,66
saughn,2022,5,56
saughn,2022,6,56
saughn,2022,7,0
saughn,2022,8,65
saughn,2022,9,72
saughn,2022,10,55
saughn,2022,11,31
saughn,2022,12,45
saughn,2022,13,48
saughn,2022,14,55
saughn,2022,15,60
saughn,2022,16,51
saughn,2022,17,67
saughn,2022,18,47
saughn,2022,19,63
saughn,2022,20,65
saughn,2022,21,60
saughn,2022,22,55
saughn,2022,23,63
saughn,2022,24,41
saughn,2022,25,59
saughn,2022,26,42
saughn,2022,27,83
saughn,2022,28,17
saughn,2022,29,102
saughn,2022,30,47
saughn,2022,31,34
saughn,2022,32,56
saughn,2022,33,50
saughn,2022,34,101
saughn,2022,35,45
saughn,2022,36,55
saughn,2022,37,47
saughn,2022,38,30
simon,2022,1,58
simon,2022,2,50
